Nama_Pengguna,Tanggal,Rating,Komentar,Balasan_Developer,Jumlah_Like
Lugu Alami,2024-12-19,5,Sukak aja dgan ilmu mreka,,0
Pejuang Kripto,2024-12-19,5,Awal mula mengenal kripto adalah dari bro tymoty...awal mula sangat jengkel dengan gaya bicara nya yg sok...tpi setelah di cerna dan ku pikirkan dengan seksama ternyata semua yang di berikan itu ilmu semua my prend... Makasih sudah mau memberikan edukasi di indonesia...jujur gw iri banget karena di umur bro tymoty dan kalimasada sudah bisa berguna untuk banyak orang ..,,0
Arief Nugroho Yusuf,2024-12-19,5,"Belajarrrrrrrrrr,invest,.,.semoga bisa pensiun di usia 50th,merdk keuangan.,.Aamiin",,0
ahmad kalbadi,2024-12-19,5,Izin bagiamana cara mendaftar nya,,0
Kado ultah Cuyung 2023,2024-12-18,1,"Jangan join AC, ntar nyesel, bayar mahal, ilmu tidak daging, jarang call, sekali call nyangkut, wkwkwk",,0
Aziz Harza,2024-12-17,5,Orang yang koar2 rungkat nyalahin komunitas sadar diri lu yang pencet,,0
Muhammad Choirul,2024-12-15,5,Aplikasi sangat berguna. Untuk mendapatkan informasi terupdate seputar crypto. Good sukses selalu kak🙏,,0
Mario Wardhana Putra,2024-12-15,5,Nice platform,,2
RIDWAN,2024-12-14,5,Good aplikasi,,0
Reynard Al Fatih,2024-12-14,1,Cara loginnya gimana?😂 Apakah harus bayar?,,0
Nadine,2024-12-13,1,"Jujur gw member di dalem ini , gw dulu join karna di janjiin ada live exclusive member dan ada diskusi membernya . Dulu kelasnya bagus tapi Sekarang udah sampah banget",,1
Azmei Bg,2024-12-13,1,👍,,0
KiLLUA,2024-12-13,1,suck,,0
Lufthansa Judge Priansyah,2024-12-13,5,Tempat belajar crypto terbaik,,0
adi ope,2024-12-12,4,Apk cukup bagus....perlu ditambahi notifikasi,,0
Firekey,2024-12-10,2,"Rating akan dirubah kalau sudah ada live session kembali, chat antar member dan fitur-fitur seperti akhir februari 2024",,6
ANDI JuLaK,2024-12-09,5,Thanks bro tim dan bro kaka,,0
Ayu Ayu,2024-12-09,5,"Permisi bang, gua rada belum paham, ini gabisa login atau khusus member ya bang?, cuman nanya sih hehehe 😅😅",,0
Adil Permata Sidik,2024-12-09,5,Thanks ncek dan prof kaka buat informasi di aplikasinya mantaps,,0
